CustomerID,Lookalikes
C0001,"[('C0069', 0.9913819904153776), ('C0181', 0.9705601386275426), ('C0154', 0.9564513664536958)]"
C0002,"[('C0029', 0.9998671111637883), ('C0062', 0.9825909976085322), ('C0176', 0.9755231755019435)]"
C0003,"[('C0038', 0.9818382220297135), ('C0178', 0.9792765246889311), ('C0189', 0.9743109100728298)]"
C0004,"[('C0075', 0.9918792418898917), ('C0017', 0.980676828364032), ('C0165', 0.9778258219269734)]"
C0005,"[('C0120', 0.9942141549928215), ('C0186', 0.9866297090367901), ('C0140', 0.986578789172631)]"
C0006,"[('C0117', 0.9467506786195294), ('C0168', 0.9361640813658195), ('C0185', 0.9138259028837433)]"
C0007,"[('C0146', 0.9827794872027066), ('C0115', 0.9763800921134258), ('C0050', 0.9723789741757056)]"
C0008,"[('C0113', 0.957764271306091), ('C0124', 0.9069620516173307), ('C0012', 0.8727648387808944)]"
C0009,"[('C0061', 0.9693189643092059), ('C0150', 0.9628567496257924), ('C0198', 0.940147420353606)]"
C0010,"[('C0111', 0.9781971067746764), ('C0077', 0.9721823089878816), ('C0134', 0.9697315685742698)]"
C0011,"[('C0064', 0.9864985983753509), ('C0137', 0.9733902913606859), ('C0191', 0.9063185589128949)]"
C0012,"[('C0124', 0.9764495988397712), ('C0163', 0.96690110454662), ('C0113', 0.9451961920472193)]"
C0013,"[('C0099', 0.9861021612910228), ('C0145', 0.9710285250708811), ('C0143', 0.9646222918974613)]"
C0014,"[('C0097', 0.9975034593923592), ('C0151', 0.9564501237259558), ('C0110', 0.9533424361682826)]"
C0015,"[('C0131', 0.974394403003058), ('C0085', 0.9476703304331443), ('C0078', 0.9179873958145631)]"
C0016,"[('C0040', 0.9473702921208206), ('C0042', 0.9121520550551783), ('C0107', 0.8879584596060189)]"
C0017,"[('C0075', 0.9809785759778629), ('C0004', 0.980676828364032), ('C0090', 0.973541539996409)]"
C0018,"[('C0057', 0.9149525099493919), ('C0153', 0.9096457794463813), ('C0041', 0.8314951837943293)]"
C0019,"[('C0047', 0.8911371702296446), ('C0174', 0.8856992419614166), ('C0081', 0.8266675405954238)]"
C0020,"[('C0130', 0.9981733530622957), ('C0140', 0.9804062515335791), ('C0186', 0.9545492840734432)]"
